keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
python,python,"bisnis, analisis data",SMA/Sederajat,sains,Google Data Analytics,2.8,Analis Bisnis,layanan bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,python bisnis analisis data sains,valid,Tidak,1,1,2,5
komunikasi,komunikasi,"bisnis, analisis data",Sarjana,teknik,Tally ERP,2.52,Analis Bisnis,layanan bisnis,tugas umum,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,komunikasi bisnis analisis data teknik,valid,Tidak,1,1,3,5
"sql, analisis keuangan","sql, analisis keuangan","bisnis, keuangan",Magister,sains,Google Data Analytics,2.44,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,sql analisis keuangan bisnis keuangan sains,valid,Tidak,0,1,1,4
python,python,"bisnis, analisis data",Magister,teknik,CFA Level 1,2.84,Analis Bisnis,layanan bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,python bisnis analisis data teknik,valid,Tidak,1,1,1,5
python,python,"bisnis, analisis data",SMA/Sederajat,keuangan,AWS Certified,2.92,Analis Bisnis,layanan bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,python bisnis analisis data keuangan,valid,Tidak,1,1,2,5
komunikasi,komunikasi,pengembangan karir umum,SMA/Sederajat,keuangan,AWS Certified,3.12,Akuntan Junior,keuangan,tugas umum,"akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,komunikasi umum karir pengembangan keuangan,valid,Tidak,0,1,2,4
"sql, pemasaran, analisis keuangan","sql, pemasaran, analisis keuangan","bisnis, keuangan",Sarjana,psikologi,Dasar Kesehatan Mental,3.6,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,sql pemasaran analisis keuangan bisnis keuangan psikologi,valid,Tidak,4,1,3,4
"ms office, konseling, akuntansi","ms office, konseling, akuntansi","bisnis, keuangan",SMA/Sederajat,ilmu komputer,Tidak Ada Sertifikasi,2.84,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,ms office konseling akuntansi bisnis keuangan komputer sains,valid,Tidak,0,1,2,4
"konseling, analisis data, ms office","konseling, analisis data, ms office","teknologi, ilmu data",SMA/Sederajat,teknik,CFA Level 1,2.6,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,konseling analisis data ms office teknologi data sains teknik,valid,Tidak,0,1,2,4
"akuntansi, pemasaran, ms office","akuntansi, pemasaran, ms office","bisnis, keuangan",SMA/Sederajat,seni,Penulisan Kreatif,3.76,Analis Keuangan,keuangan,"konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,akuntansi pemasaran ms office bisnis keuangan seni,valid,Tidak,4,1,2,4
akuntansi,akuntansi,"bisnis, keuangan",Doktor,teknik,Tidak Ada Sertifikasi,2.52,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,akuntansi bisnis keuangan teknik,valid,Tidak,4,1,0,4
"pembelajaran mesin, analisis keuangan, ms office","pembelajaran mesin, analisis keuangan, ms office","bisnis, keuangan",SMA/Sederajat,perdagangan,Tally ERP,3.16,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,pembelajaran mesin analisis keuangan ms office bisnis keuangan perdagangan,valid,Tidak,4,1,2,4
"pemasaran, akuntansi","pemasaran, akuntansi",marketing,Magister,seni,Penulisan Kreatif,3.24,Akuntan Junior,keuangan,"konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,pemasaran akuntansi seni,valid,Tidak,0,1,1,4
"ms office, sql, konseling","ms office, sql, konseling","bisnis, analisis data",Doktor,ilmu komputer,Dasar Kesehatan Mental,3.08,Analis Bisnis,layanan bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,ms office sql konseling bisnis analisis data komputer sains,valid,Tidak,1,1,0,5
"komunikasi, analisis keuangan","komunikasi, analisis keuangan","bisnis, keuangan",SMA/Sederajat,teknik,Tidak Ada Sertifikasi,2.8,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,komunikasi analisis keuangan bisnis keuangan teknik,valid,Tidak,4,1,2,4
"pembelajaran mesin, analisis keuangan","pembelajaran mesin, analisis keuangan","bisnis, keuangan",Magister,teknik,Dasar Kesehatan Mental,2.64,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,pembelajaran mesin analisis keuangan bisnis keuangan teknik,valid,Tidak,4,1,1,4
"sql, python, ms office","sql, python, ms office","bisnis, analisis data",SMA/Sederajat,sains,Tidak Ada Sertifikasi,3.76,Analis Bisnis,layanan bisnis,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,sql python ms office bisnis analisis data sains,valid,Tidak,1,1,2,5
analisis data,analisis data,"bisnis, keuangan",Sarjana,keuangan,Sertifikasi Pemasaran Digital,3.32,Analis Keuangan,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,analisis data bisnis keuangan,valid,Tidak,4,1,3,4
"pemasaran, akuntansi, sql","pemasaran, akuntansi, sql",marketing,SMA/Sederajat,perdagangan,AWS Certified,2.88,Akuntan Junior,keuangan,"konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,pemasaran akuntansi sql perdagangan,valid,Tidak,0,1,2,4
"pemasaran, komunikasi","pemasaran, komunikasi","bisnis, keuangan",SMA/Sederajat,teknik,Sertifikasi Pemasaran Digital,3.08,Analis Keuangan,keuangan,"konten, tugas sosial, penjualan & pengaruh",berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,dasar berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,pelajari berpikir analitis perhatian terhadap detail penalaran matematika berpikir kritis penulisan laporan,Bisnis,pemasaran komunikasi bisnis keuangan teknik,valid,Tidak,4,1,2,4
"konseling, ms office","konseling, ms office","bisnis, analisis data",SMA/Sederajat,teknik,Tally ERP,3.76,Analis Bisnis,layanan bisnis,tugas umum,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,dasar berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,pelajari berpikir analitis peningkatan proses pemecahan masalah komunikasi berpikir sistematis,Bisnis,konseling ms office bisnis analisis data teknik,valid,Tidak,1,1,2,5
"pemasaran, konseling, analisis data","pemasaran, konseling, analisis data","teknologi, ilmu data",SMA/Sederajat,psikologi,AWS Certified,2.8,Akuntan Junior,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Bisnis,pemasaran konseling analisis data teknologi data sains psikologi,valid,Tidak,0,1,2,4
